id,author_year,country,setting,level_of_care,design,n_patients,n_events,population_detail,intervention,comparator,outcomes_measured,primary_result,effect_size,ci_lower,ci_upper,p_value,secondary_results,ascertainment_method,rob_tool,rob_domains,rob_overall,directness,grade_certainty,grade_reason,funding,conflicts,key_limitation,abstract_only,pmid,doi,notes,domain,fortifier_type,fortification_definition,subgroup_flag,bmf_terminology_check
D8-04,Moya 2012,USA (multicentre),NICU,tertiary,Multicentre third-party-blinded RCT,150,no difference in sepsis or NEC incidence between groups,"preterm infants birthweight <=1250g, fed expressed/donor breast milk","New ultraconcentrated liquid human milk fortifier (LHMF, ~20% more protein than control)",Control powdered human milk fortifier (HMF),"weight, length, head circumference; prealbumin, albumin, BUN, electrolytes, blood gases; sepsis; NEC; feeding tolerance",LHMF group had significantly higher achieved weight and linear growth rate than control powder HMF; no difference in feeding tolerance or days to full feeding volume; no difference in sepsis/NEC,"Achieved weight/linear growth rate significantly higher (P=.04 and P=.03 respectively, ITT); protocol-adherent subgroup P=.004/.003/.04/.01 for weight/length/HC/linear growth rate",,,"P=.04 (weight, ITT); P=.03 (linear growth, ITT); P<.05 (prealbumin, albumin, BUN higher with LHMF)",No difference in confirmed sepsis or NEC incidence between LHMF and control powder HMF groups,"multicentre, third-party-blinded prospective RCT",not specified,third-party blinding described (reduces some bias) but protocol-adherent subgroup analysis presented alongside ITT — some risk of selective emphasis,moderate,Direct (preterm <=1250g),Moderate,"Reasonably sized (n=150), blinded multicentre RCT with a consistent growth-benefit signal and reassuring safety data (no sepsis/NEC signal), though single trial",not reported in abstract,not reported in abstract,"Positive growth-and-safety result for concentrated liquid HMF specifically as a powder alternative (practical/logistical benefit: avoids powder-related contamination risk) — an earlier, higher-quality RCT than some other liquid-fortifier evidence in this domain",No,22987877,10.1542/peds.2011-3120,"Historically important early liquid-HMF RCT; growth benefit direction is CONSISTENT with, though independent of, the later Lin 2020 QI cohort's growth findings",8,bovine liquid concentrated vs bovine powder,"28-day intervention period, both arms from comparable enteral volumes",general preterm <=1250g,N/A
D8-05,Parat 2020,not specified in abstract-level metadata,NICU,tertiary,Interventional cohort study (non-randomised comparison implied),"36 (17 targeted, 19 standard)",,very low birth weight infants,Targeted protein-fortified human milk (weekly mid-infrared spectroscopy-guided protein addition to 4g/kg/day),Standard fortified human milk,protein intake; flank skinfold thickness (SFT); body composition (air-displacement plethysmography) in a post-hoc subgroup with >=30 intervention days,Targeted group received more protein and had larger flank SFT; post-hoc subgroup (>=30 days intervention) showed 3% higher fat-free mass with targeted fortification,3% higher fat-free mass (post-hoc subgroup),,,not itemised precisely in abstract beyond directional significance claims,,"weekly mid-infrared milk analysis, weekly anthropometry, air-displacement plethysmography at study end",not specified,"small sample (n=36), post-hoc subgroup analysis for the body-composition finding","high risk of bias (small, non-randomised comparison design implied, post-hoc subgroup)",Direct (VLBW) but weak/exploratory design,Very low,"Small sample, post-hoc subgroup analysis for its headline body-composition finding — serious imprecision and risk of selective reporting",not reported in abstract,not reported in abstract,Exploratory pilot-scale evidence for targeted fortification's effect on body composition specifically (distinct from simple weight-gain velocity) — hypothesis-generating only,No,32326177,10.3390/nu12041156,"Complements Rochow 2025 (D5-03/D8) on targeted fortification, with body-composition (not just weight) as the outcome of interest",8,targeted-adjustable (mid-infrared-spectroscopy-guided),weekly-adjusted to protein target of 4g/kg/day,general VLBW,N/A
D8-06,Rochow 2025 (freeze-dried donor milk fortifier),Germany (Nuremberg),single tertiary children's hospital,tertiary,Prospective non-interventional observational cohort with retrospectively matched comparison,"64 (32 exposed, 32 matched comparison)","0 NEC, 0 serious adverse events in either group",preterm infants >=30 weeks gestational age requiring MOM fortification,"Freeze-dried high-temperature-short-time-pasteurised DONOR MILK fortifier (a human-milk-derived product), 1.6-4.8g/100mL",Matched cohort receiving bovine protein-based fortifier,"feeding tolerance; safety parameters (glucose, triglycerides, urea); anthropometry at discharge","Excellent feeding tolerance across >3100 feedings in the donor-milk-fortifier group; no NEC, abdominal complications or serious adverse events in either group; anthropometric outcomes not significantly different between groups",not itemised as a single comparative effect size (descriptive safety cohort),,,not significant for anthropometric comparisons,"Authors note the product's protein-to-energy ratio may be suboptimal for infants <1500g, limiting applicability to the most preterm/smallest infants","prospective observational cohort, retrospectively matched comparison (birthweight +/-10%, GA +/-5 days, fortified feeding)","not specified (observational, matched but non-randomised)",non-randomised matched-cohort design; small sample (n=32/group); single centre,"high risk of bias (observational, matched but not randomised, small n)","Direct population (preterm >=30wk) but explicitly NOT the most preterm/smallest infants where fortification decisions are highest-stakes — population restricted to >=30 weeks and, per authors, may not suit <1500g infants",Very low,"Small non-randomised matched-cohort observational study; reassuring descriptive safety data only, no formal comparative hypothesis testing",not reported in abstract,not reported in abstract,"A human-milk-derived (donor-milk-based) fortifier alternative to bovine colostrum/powder options, but evidence base is preliminary and explicitly NOT yet applicable to VLBW/ELBW infants per the authors' own caveat",No,41097134,,"Distinct product from FortiColos bovine colostrum (D6-05) — both are alternatives to standard bovine powder HMF, from different source material (donor human milk vs bovine colostrum)",8,human-milk-derived (freeze-dried donor milk),1.6-4.8 g/100mL of mother's own milk,general preterm >=30wk (excludes ELBW by design),N/A
D8-07,Beggs 2025 (MaxiMoM InForM protocol),Canada (multicentre),NICU,tertiary,"RCT protocol (three-arm, pragmatic, double-blind)",planned 615,"N/A (protocol, not yet reported)","VLBW infants (<=1250g, or <30wk and <1500g), human-milk-fed",Target fortification (twice-weekly milk analysis-guided) OR BUN-adjustable fortification (weekly BUN-guided),Standard fixed-dose fortification,"Bayley-IV cognitive (primary), language, motor development at 18-24 months corrected age; growth, body composition, mortality, serious morbidity (secondary)","N/A — protocol only, trial ongoing/not yet reported",,,,,,"Bayley-IV at 18-24 months CA, air-displacement plethysmography at 4 months CA on a subset",N/A (protocol),,N/A,"N/A (protocol, no results to assess)",N/A — no results yet,"Protocol paper; this is precisely the adequately-powered (n=615), long-term-ND-endpoint RCT the field currently lacks for targeted/individualised fortification",not reported in abstract,not reported in abstract,"THE single most important identified 'what would change practice' trial for Domain 8 — if/when it reports, it will be the first adequately powered RCT with a hard 18-24-month cognitive endpoint comparing standard vs target vs BUN-adjustable fortification",No,41047263,10.1136/bmjopen-2025-105609,NCT05308134. Directly named in Section 6's 'what would change practice' framing — flag prominently in cross-cutting synthesis,8,targeted-adjustable (two variants: milk-analysis target vs BUN-adjustable) vs standard fixed-dose,from 100 mL/kg/day feeds to 36 weeks corrected gestational age,general VLBW,Does not use BMF abbreviation
D8-08,Ananthan 2020,multiple (systematic review),hospital NICU,tertiary,Systematic review and meta-analysis (6 RCTs),334 (NEC/mortality/sepsis outcomes); 241 (weight); varies by outcome,NEC events per pooled RR below,preterm infants,"Human milk-derived fortifier (HMF, i.e. human-milk-based)",Bovine milk-derived fortifier (BMF — brief's reserved bovine sense),NEC (>=stage II); surgical NEC; mortality; weight gain; length; head circumference; late-onset sepsis,Lower risk of NEC and surgical NEC with human-milk-derived fortifier; but LOWER weight gain vs bovine fortifier; no difference in mortality or late-onset sepsis; NEC benefit lost in sensitivity analysis excluding high-risk-of-bias studies,NEC RR 0.38; Surgical NEC RR 0.13; Weight MD -1.08 g/kg/d; Mortality RR 0.40; Sepsis RR 0.96,0.15 / 0.02 / -1.96 / 0.14 / 0.56,0.95 / 0.67 / -0.21 / 1.15 / 1.67,"P=0.04 (NEC); P=0.02 (surgical NEC); P=0.02 (weight, favouring bovine); P=0.09 (mortality, NS); P=0.90 (sepsis, NS)",No difference in length (MD -0.11cm/wk) or head circumference (MD -0.02cm/wk),"random-effects meta-analysis, GRADE",GRADE,,Low to very low (per authors' own GRADE),"Direct (preterm), directly addresses the 'bovine vs human-milk-derived fortifier' half of the brief's Section 4 conceptual split",Low to very low,Per authors' own GRADE assessment; NEC benefit specifically noted to lose significance after excluding high-risk-of-bias studies — a fragility flag,not reported in abstract,not reported in abstract,"Trade-off finding: possible NEC reduction with human-milk-derived fortifier comes with a WEIGHT-GAIN PENALTY vs bovine fortifier — a genuine clinical trade-off, not a one-directional 'human is better' story; NEC benefit itself is fragile to exclusion of biased trials",No,32277813,10.1093/advances/nmaa039,"This is squarely the brief's Section 4(b) question ('if fortifying, bovine-derived vs human-milk-derived') — correctly distinguished from the Section 4(a) 'whether/when to fortify at all' question",8,human-milk-derived vs bovine-derived (BMF in the brief's reserved sense),not harmonised across the 6 included trials,general preterm,Uses BMF to mean bovine milk-derived fortifier — matches brief's Section 4 reserved sense exactly
D8-09,Grace 2020,multiple (systematic review),hospital NICU,tertiary,Systematic review and meta-analysis (2 RCTs),334 (332 with primary outcome data),NEC events per pooled RR below,"preterm and/or VLBW infants, <34 weeks and/or <1500g",Human milk-based fortifier,Cow's/bovine milk-based fortifier,NEC (Bell stage >=II) (primary); late-onset sepsis,Human milk-based fortifier reduced NEC risk vs bovine-based fortifier; no clear effect on late-onset sepsis,NEC RR 0.47,0.22,0.98,statistically significant (CI excludes 1),No clear evidence of effect on any other outcome assessed,"systematic search to Nov 2019, 2 independent extractors, fixed/random-effects as appropriate",not specified,imprecision and lack of blinding in one of the 2 included trials,Low to very low (per authors' own assessment),Direct (preterm/VLBW),Low to very low,Only 2 trials pooled (334 infants); imprecision and lack of blinding in one trial per the authors' own quality assessment,not reported in abstract,not reported in abstract,"Only 2 trials underlie this NEC-reduction finding — same underlying evidence base largely overlaps with Ananthan 2020's larger 6-trial synthesis (D8-08); NEC point estimate direction is consistent across both reviews, a reassuring cross-check, though from substantially overlapping primary trials, not independent replication",No,32943531,10.1136/archdischild-2020-319406,Cross-check against Ananthan 2020 (D8-08) — consistent NEC-reduction direction from a 2-trial subset of essentially the same underlying RCTs,8,human milk-based vs bovine/cow's milk-based,not harmonised across included trials,general preterm/VLBW,Uses 'cow's milk-based fortifier' as the bovine comparator — conceptually equivalent to brief's reserved BMF sense though the abstract does not use the literal abbreviation
D8-10,Galis 2024,multiple (systematic review),hospital NICU,tertiary,Meta-analysis (4 RCTs),"681 (mortality/NEC); 663-671 (BPD/ROP, varies)",see effect sizes,"infants <=28 weeks gestation and/or birthweight <=1500g, exclusive human milk diet (MOM or DHM)",Human milk-derived fortifier (HMFs),"Bovine milk fortifier (BMFs — brief's reserved bovine sense, used explicitly in this paper's own terminology)",death; NEC (>=stage 2) (co-primary); BPD; sepsis; combined ROP,"Mortality significantly lower with human-milk-derived fortifier; NEC not significantly different; BPD higher (borderline, NS) with bovine fortifier","Mortality RR 0.50; NEC RR 0.48; BPD RR 0.83 (favouring HM-HMFs, i.e. bovine group had more BPD)",0.26 / 0.20 / 0.69,0.94 / 1.17 / 1.000,"P=0.03 (mortality, significant); P=0.11 (NEC, NS); P=0.05 (BPD, borderline NS)","No differences in sepsis (RR 0.97, P=0.96) or combined ROP (RR 0.64, P=0.28)",systematic search Jan2015-Aug2023 across 5 databases,not specified,only 4 trials pooled; authors explicitly caution against dismissing findings for small trial count,"the authors argue the mortality signal should not be dismissed for small N, but by GRADE convention imprecision from 4 trials remains a real downgrade","Direct (extremely preterm/ELBW, exclusive HM diet)",Low,"Only 4 trials (681 infants) pooled for the mortality signal — genuine imprecision despite a statistically significant point estimate; authors' own framing ('should not be refuted for this reason') is an interpretive stance, not a certainty upgrade, and this synthesis reports the GRADE-consistent downgrade rather than adopting the authors' framing uncritically",not reported in abstract,not reported in abstract,"A striking mortality-reduction signal (RR 0.50) for human-milk-derived fortifier that is NOT corroborated by the larger single trial in this space (N-forte/Jensen 2024, D3/D5, composite NEC/sepsis/death OR 1.05, NS) — this is exactly the kind of small-positive-vs-large-null discrepancy the brief's null-finding rule requires be surfaced prominently, not smoothed over",No,38542821,10.3390/nu16060910,IMPORTANT CROSS-CHECK: contrast this meta-analysis's positive mortality signal directly against N-forte's null composite result in the cross-cutting synthesis — both concern HMBF vs BMBF/bovine fortifier in similar populations,8,"human-milk-derived vs bovine (explicitly 'BMFs' in this paper's own abstract terminology, matching the brief's Section 4 reserved sense)",not harmonised across the 4 included trials,extremely preterm <=28wk / ELBW,Uses 'BMFs' explicitly to mean bovine milk fortifiers — matches brief's Section 4 reserved sense exactly; flagged and confirmed consistent
D8-11,O'Connor 2018 (HMBF vs BMBF trial),Canada (Ontario),multicentre NICU,tertiary,Blinded RCT,"232 eligible, 127 (54.7%) randomised (64 HMBF, 63 BMBF)",,"infants born weighing <1250g, exclusively human-milk-fed (MOM + donor milk)",Human milk-based fortifier (HMBF),Bovine milk-based fortifier (BMBF),feeding interruption (primary); dichotomous mortality/morbidity index; fecal calprotectin; growth z-scores,No statistically significant difference in feeding interruptions or the mortality/morbidity index between HMBF and BMBF,"Feeding interruption: 17/64 (HMBF) vs 20/61 (BMBF), risk difference -6.2%",-22.2,9.8,NS (CI crosses 0),"No difference in fecal calprotectin or growth z-scores; mortality/morbidity index 48.4% (HMBF) vs 49.2% (BMBF), P=0.76","blinded RCT, NCT02137473",not specified,only 54.7% of eligible infants randomised (selection into trial),"low-moderate (blinded, adequately conducted, but modest recruitment rate)",Direct (VLBW <1250g),Moderate,"Well-conducted blinded RCT but single trial, modest sample (n=127) for a null primary-outcome comparison — some imprecision",not reported in abstract,not reported in abstract,"An important NULL finding for HMBF vs BMBF on feeding tolerance and the composite morbidity/mortality index — this null result sits alongside the more positive NEC-specific findings from Ananthan/Grace/Galiș's pooled analyses (which partly include this same trial), illustrating how outcome choice (feeding interruption/composite vs NEC specifically) changes the apparent direction of evidence",No,29878061,10.1093/ajcn/nqy067,Parent trial of the D5-02 18-month ND follow-up (Hopperton 2019); this is one of the trials feeding into the Ananthan/Grace/Galiș meta-analyses above — not independent evidence from them,8,human-milk-derived vs bovine-derived (explicit HMBF vs BMBF),"commenced at 100 mL/kg/day feeds, advanced at 140 mL/kg/day",general VLBW <1250g,"Uses BMBF = bovine milk-based fortifier, matching brief's Section 4 reserved sense exactly"
D8-12,Chinnappan 2021,India,single tertiary NICU,tertiary,Open-label noninferiority RCT,"123 (60 PTF, 63 HMF)",NEC stage>=2: 0 (PTF) vs 5% (HMF),"preterm (<=34wk) VLBW neonates, >=75% EBM feeds, receiving >=100mL/kg/d",Preterm formula powder (PTF) as fortifier,Standard commercial human milk fortifier (HMF),"weight gain until discharge/40wk PMA (primary, noninferiority margin 2g/kg/d); NEC; feed intolerance; extrauterine growth restriction",PTF noninferior to HMF for weight gain; incidence of feed intolerance significantly LOWER with PTF,"Weight gain 15.7+/-3.9 (PTF) vs 16.3+/-4.0 g/kg/d (HMF), MD -0.5",-1.9,0.7,"noninferiority margin not crossed (met); feed intolerance incidence rate ratio 0.19, 95% CI 0.04-0.95","Fewer PTF infants required withholding fortification >=24h (5% vs 22%, RR 0.22, 95% CI 0.07-0.75); NEC and EUGR incidence comparable","open-label RCT, prespecified noninferiority design; CTRI/2017/11/010593",not specified,open-label (unblinded) design,"moderate (unblinded, but objective primary outcome measurement)","Direct (preterm/VLBW) but a resource-limited-setting-framed comparison (preterm FORMULA POWDER as a cost-effective fortifier alternative, not concentrated liquid formula as in Lin 2020)",Moderate,"Adequately designed noninferiority RCT with prespecified margin, but single trial and single (resource-limited) setting limits generalisability to well-resourced NICUs where cost is less of a driver",not reported in abstract,not reported in abstract,Positioned by its own authors as most relevant to 'resource-restricted settings' — a UK level-3 NICU relevance caveat should be explicit: cost-driven substitution of commercial HMF with preterm formula powder is less likely to be the binding constraint in a well-resourced UK unit,No,33970187,10.1001/jamapediatrics.2021.0678,"Distinguish from Lin 2020 (D8-03, concentrated LIQUID preterm formula as initiation-stage rescue strategy) — this trial uses preterm formula POWDER as a routine cost-driven HMF substitute, a different clinical scenario",8,preterm formula powder vs standard bovine powder HMF,both arms already at >=100mL/kg/day feeds at enrolment,general preterm/VLBW,N/A
D8-13,Ahnfeldt 2023 (FortiColos growth/biochemistry),Denmark (multicentre),NICU,tertiary,Open-label multicentre RCT,232,NEC 3/115 (BC) vs 5/117 (CF),"very preterm infants, 26-31 weeks gestation",Bovine colostrum (BC) as fortifier,Conventional bovine-milk-based fortifier (CF),growth (weight/length/HC delta Z-scores); NEC; late-onset sepsis; plasma amino acid levels,Similar growth between BC and CF groups (including in SGA subgroup); no significant difference in NEC or LOS; BC infants received more protein and showed moderately elevated plasma amino acid levels,"NEC: 3/115 vs 5/117, P=0.72 (unadjusted); LOS: 23/113 vs 14/116, P=0.08",,,"P=0.72 (NEC, NS); P=0.08 (LOS, NS, trend toward more LOS with BC)","BC infants received +10% more protein (P<0.05) with several elevated amino acids (+10-40%, P<0.05)",open-label multicentre pilot RCT,not specified,open-label (unblinded),moderate,Direct (very preterm),Low,"Single open-label pilot-scale RCT; the LOS trend (P=0.08) toward harm with bovine colostrum, though not significant, warrants caution and should not be dismissed as pure null",not reported in abstract,not reported in abstract,"Growth-neutral, safety-uncertain (LOS trend) result for a genuinely novel fortifier source (bovine colostrum) — authors themselves call for protein/micronutrient composition adjustments before wider use",No,37004355,10.1016/j.clnu.2023.03.008,Bovine colostrum is a THIRD fortifier-source category distinct from both 'standard bovine milk-based' and 'human-milk-derived' — worth naming explicitly as its own emerging category in synthesis,8,bovine colostrum vs conventional bovine powder/liquid,until 35 weeks postmenstrual age,general very preterm (includes SGA subgroup analysis),N/A (neither arm is human-milk-derived)
D8-14,Bell 2026 (individualised fortification SR/MA),multiple (systematic review),hospital NICU,tertiary,"Systematic review and meta-analysis (12 RCTs), Cochrane RoB-1, GRADE",575 total; outcome-specific N vary (106-454),see effect sizes,preterm infants (population criteria vary slightly by included trial),Individualised (targeted or adjustable) fortification,Standardised fixed-dose fortification,"mortality; NEC; neurodevelopment at 18 months; head circumference, weight, length gain; fat-free mass; fat mass","Individualised fortification likely increases growth (HC, weight, length, FFM) with moderate certainty; effect on mortality, NEC and neurodevelopment remains very uncertain",Mortality RR 0.20 (very uncertain); NEC RR 0.29 (very uncertain); HC MD 1.76 mm/wk; Weight MD 2.87 g/kg/d; Length MD 3.20 mm/wk; FFM MD 121.4g; Fat mass MD 68.9g,0.02 / 0.05 / 0.76 / 1.36 / 1.22 / 25.6 / 6.1,1.66 / 1.72 / 2.76 / 4.39 / 5.18 / 217.2 / 131.8,"P=0.14 (mortality, NS); P=0.17 (NEC, NS); P=0.0005 (HC); P<0.0002 (weight); P=0.002 (length); P=0.01 (FFM); P=0.03 (fat mass)",Neurodevelopment at 18 months explicitly flagged as 'remains very uncertain' by the review authors themselves,"4 databases + 3 trial registries, 2 independent reviewers, Cochrane RoB-1, GRADE",Cochrane RoB-1,varies by trial; overall driving moderate-to-very-low certainty depending on outcome,Moderate for growth outcomes; very low for mortality/NEC/neurodevelopment (per authors' own GRADE),Direct (preterm),"Moderate (growth outcomes); Very low (mortality, NEC, neurodevelopment)","Growth outcomes benefit from larger pooled Ns and consistency; mortality/NEC/ND outcomes downgraded for serious imprecision (small event counts, wide CIs crossing 1) per the review's own GRADE",not reported in abstract,not reported in abstract,THE most current (2026) pooled synthesis specifically for individualised-vs-standard fortification — its own authors' explicit conclusion is that growth improves but whether this translates to meaningful long-term functional/clinical benefit remains unproven; this is the single most important 'growth-is-not-outcome' caution to carry into the cross-cutting synthesis,No,42391159,10.1159/000553366,"Incorporates and updates the individual trials already extracted separately (Seliga-Siwecka D8-01, Rochow D5-03/D8, Parat D8-05) — treat as the current best pooled estimate for this specific question, cross-reference rather than double-count the underlying trials as independent evidence",8,targeted-adjustable vs standard fixed-dose (pooled across multiple individualisation methods),"varies by included trial (BUN-adjustable, milk-analysis-targeted, etc.)",general preterm,Does not use BMF abbreviation
