id,author_year,country,setting,level_of_care,design,n_patients,n_events,n_clinicians,population_detail,intervention,comparator,outcomes_measured,primary_result,effect_size,ci_lower,ci_upper,p_value,secondary_results,ascertainment_method,rob_tool,rob_domains,rob_overall,directness,grade_certainty,grade_reason,funding,conflicts,key_limitation,abstract_only,pmid,doi,notes,gestational_age_range,glucose_threshold_used,glucose_measurement_method,outcome_timepoint,dose_response_reported
B18,Nava 2020,International (systematic review),Cochrane-style review base,n/a (systematic review),systematic review and meta-analysis (individual patient data),11 studies (IPD obtained for 5),not applicable (diagnostic accuracy review),not extracted,preterm infants across included studies,continuous glucose monitoring (CGM) devices,intermittent blood glucose testing methods,pooled sensitivity/specificity for hypoglycaemia and hyperglycaemia detection,pooled sensitivity 0.39 specificity 0.99 for hypoglycaemia; sensitivity 0.87 specificity 0.99 for hyperglycaemia,AUC 0.70 (hypoglycaemia) and 0.86 (hyperglycaemia),not reported as single CI,not reported as single CI,not applicable,only 2 of 5 IPD-available studies had MARD <10%; none of 5 CGM devices satisfied EU ISO 15197 requirements,QUADAS-2; GRADE for overall certainty,QUADAS-2,not extracted per-study,low-moderate (limitations in representative population/reference standard/device standardisation per authors),direct - preterm infant population specifically,Moderate,risk of bias (lack of representative population/reference standard/device standardisation across included studies per authors' own GRADE assessment); imprecision (IPD available for only 5 of 11 studies),not extracted,not extracted,CGM's LOW sensitivity for hypoglycaemia (0.39) is central to why CGM cannot substitute for point-of-care/laboratory confirmation,N,33361084,10.1136/bmjopen-2020-045335,PROSPERO CRD42020152248; central evidence that CGM is a distinct technology from POC glucometers and not a diagnostic substitute for hypoglycaemia specifically,preterm infants,not a single threshold (pooled diagnostic accuracy across included studies' own thresholds),continuous interstitial glucose monitoring vs intermittent blood glucose,not applicable (accuracy review),not applicable (accuracy review)
B19,Bonet 2024,Italy,"Ospedale Alessandro Manzoni, Lecco (single centre)",neonatal intensive care unit,prospective accuracy study,51 infants (501 paired SG-BG measurements),not applicable (diagnostic accuracy study),not extracted,infants born <=32 weeks gestation or birthweight <=1500g,continuous glucose monitoring (CGM) sensor glucose,"point-of-care blood glucose (calibration reference, every 12h)",mean absolute relative difference (MARD) between sensor and POC glucose,MARD 7.1% [IQR 5.6-9.3],difference -5.6 mg/dL,-25 mg/dL,+14 mg/dL,not reported,median sensor use 96 hours [IQR 72-120] with 2.0 calibrations/day; authors conclude may be clinically acceptable when regularly calibrated,paired CGM sensor vs POC glucose (not vs laboratory reference),not applied (accuracy study),,"moderate (single centre, 51 infants)",direct - very preterm infants (<=32 weeks or <=1500g),Low-Moderate,"indirectness (compared against POC, not a laboratory gold standard, so does not independently validate against the true reference); imprecision (single centre)",not extracted,not extracted,"validates CGM against POC only, not laboratory - does not itself resolve the POC-vs-lab confirmation question",N,39579867,10.1016/j.jpeds.2024.114416,Very preterm-specific CGM accuracy data; complements but does not substitute for the POC-vs-lab literature,<=32 weeks gestation or <=1500g birthweight (very preterm),not a single threshold (MARD accuracy study),continuous interstitial glucose monitoring vs point-of-care,5 days (CGM monitoring duration),not applicable (accuracy study)
B20,Glasgow 2018,New Zealand,"Liggins Institute, University of Auckland (health economics analysis)",modelled (decision-tree health economics analysis),health economic decision-tree analysis,"not applicable (modelled population, not a patient cohort)",not applicable,not extracted,modelled population of babies at risk of neonatal hypoglycaemia,enzymatic point-of-care glucometer screening,non-enzymatic point-of-care glucometer screening,cost per baby screened (NZD/USD); sensitivity analyses,enzymatic screening cost NZD 86.94 (USD 63.47) vs non-enzymatic NZD 97.08 (USD 70.87) per baby,not applicable (cost-effectiveness modelling),not applicable,not applicable,not applicable,"enzymatic glucometer cost-saving across wide staff-time/cost variation and irrespective of non-enzymatic false-positive level, where >=78% of low values are lab-confirmed; reducing threshold to 1.94 mmol/L reduced hypoglycaemia incidence from 52% to 13% and non-enzymatic screening cost to NZD 47.71","modelled (decision-tree), not a direct patient measurement study",not applied (economic model),,"not applicable (economic model, not empirical accuracy study)","indirect - modelled costs, not a direct accuracy comparison",Low,"indirectness (health economic model, not a direct diagnostic accuracy or outcome study); the underlying accuracy/false-negative assumptions are modelled inputs, not this study's own primary data",not extracted,not extracted,model result is highly dependent on the assumed proportion of low values receiving laboratory confirmation (>=78% threshold for enzymatic to be cost-saving),N,29895035,10.1159/000489080,"One of the RESEARCH-BRIEF.md candidate PMIDs; screened and included; the only health-economics angle on the POC-vs-lab-confirmation question located in this domain, and NZ-context (not UK) so extrapolated to UK costs",modelled population (not a specific GA cohort),1.94 mmol/L / 35 mg/dL (sensitivity-analysis threshold modelled),point-of-care (enzymatic vs non-enzymatic) - modelled,not applicable (economic model),not applicable
G1,Zamir 2021,Sweden,national (EXPRESS cohort),tertiary/multiple NICUs,national observational cohort,533 born <27 weeks; 436 assessed at 6.5y,not applicable (continuous exposure),,"infants <27 completed gestational weeks, born 2004-2007 (EXPRESS study), Sweden",n/a (observational exposure: duration of hyperglycaemia >8 mmol/L),infants without/with less hyperglycaemia exposure,WISC-IV FSIQ; MABC-2 total score at 6.5 years; insulin treatment as separate exposure,each day of hyperglycaemia >8 mmol/L associated with lower FSIQ and MABC-2 scores; insulin treatment not associated with outcomes,FSIQ -0.33 points/day; MABC-2 -0.55 points/day (continuous); MABC-2 adjusted mean difference -4.90 for >=3 consecutive days >8mmol/L,0.03 (FSIQ)/0.17 (MABC-2 daily)/-8.90 (MABC-2 3-day),0.62 (FSIQ)/0.93 (MABC-2 daily)/-0.89 (MABC-2 3-day),not reported as single p-value (regression coefficients with CIs),insulin treatment showed no association (positive or negative) with any outcome measure - reported as null,prospectively and retrospectively collected national cohort data; WISC-IV and MABC-2 administered at 6.5 years,not applied (observational cohort; no formal RoB tool reported in abstract),,"moderate (observational, national cohort, but exposure duration measured prospectively; residual confounding by illness severity plausible)",DIRECT - extremely preterm (<27 weeks) - the most directly relevant hyperglycaemia population for a Level 3 NICU,Moderate,"indirectness low (matches target population exactly) but imprecision (wide CIs, e.g. FSIQ 0.03-0.62) and observational design (confounding by indication/illness severity not excluded)",not extracted,not extracted,key primary trace-back target for the Lagace/Tam U-shaped dysglycaemia claim in extremely preterm infants; insulin-treatment null is as prominent as the hyperglycaemia-duration positive finding,N,33863775,10.1136/archdischild-2020-319926,Central extremely-preterm-specific evidence for this domain; duration/dose-response (not simple threshold breach) is the operative exposure metric,<27 completed weeks (extremely preterm),>8 mmol/L (144 mg/dL) as exposure threshold; U-shape review threshold >150-180mg/dL (8.3-10.0mmol/L) referenced separately,not specified in abstract (national cohort data collection),6.5 years,Y (duration/day and consecutive-day dose-response reported)
G2,Boscarino 2021,Italy,"Policlinico Umberto I Hospital, Rome",tertiary NICU,prospective cohort,108 (32 exposed/76 unexposed),32 exposed to hyperglycaemia,,"GA<32 weeks or BW<1500g, survived to 24 months",PN-related hyperglycaemia (glucose >180 mg/dL) in first week of life,no PN-related hyperglycaemia,Bayley-III cognitive and motor delay at 24 months corrected age,hyperglycaemia associated with higher rates of cognitive and motor delay; motor delay remained significant after adjustment,cognitive delay 44% vs 22%; motor delay 38% vs 8%,,,0.024 (cognitive); <0.001 (motor),hyperglycaemia remained an independent risk factor for motor delay in adjusted multivariate analysis,Bayley Scales of Infant Development III at 24 months corrected age,not applied (prospective cohort; no formal RoB tool reported in abstract),,"moderate (prospective but non-randomised exposure, single-centre, PN-hyperglycaemia inherently confounded with illness severity)",DIRECT - preterm <32 weeks / <1500g - relevant to Level 3 NICU population,Moderate,"risk of bias (non-randomised exposure to hyperglycaemia, confounding by indication for higher PN intake); single-centre imprecision (n=108)",not extracted,not extracted,"one of the clearest preterm-specific PN-related hyperglycaemia and ND-outcome studies; motor-delay effect survived adjustment, cognitive delay finding did not have adjusted result reported in abstract",N,34199741,10.3390/nu13061930,"PN-related hyperglycaemia specifically implicated, distinct from stress/illness-related hyperglycaemia mechanism",<32 weeks GA or <1500g BW,>180 mg/dL (10.0 mmol/L) in first week of life,not specified in abstract (clinical glucose monitoring),24 months corrected age,"N (single threshold/exposure category, not graded dose-response)"
G3,Puzone 2023,"multinational (systematic review, 12 included studies)",systematic review/meta-analysis,not applicable (SR/MA),"systematic review and meta-analysis, PROSPERO CRD42022368870",12 studies included (807 infants for hyperglycaemia analysis; 685 for hypoglycaemia analysis),death or neurodisability events per pooled analysis,,infants with neonatal encephalopathy (NE) - DISTINCT population from primary/isolated neonatal hyperglycaemia,exposure to hyperglycaemia (or hypoglycaemia) in the context of NE,no exposure to hyperglycaemia (or hypoglycaemia) in the context of NE,death or neurodevelopmental impairment at >=18 months,hyperglycaemia in NE associated with higher odds of death/neurodisability; hypoglycaemia in NE also associated with higher odds,"hyperglycaemia: 46.1% vs 28.0%, OR 3.07; hypoglycaemia: 40.6% vs 25.4%, OR 2.17",2.17 (hyperglycaemia)/1.46 (hypoglycaemia),4.35 (hyperglycaemia)/3.25 (hypoglycaemia),<0.00001 (hyperglycaemia); 0.0001 (hypoglycaemia),findings confirmed in subgroup analysis restricted to infants who underwent therapeutic hypothermia,ROBINS-I risk of bias assessment; GRADE certainty rating per included study; RevMan inverse-variance fixed-effects meta-analysis,ROBINS-I,not specified in abstract,moderate-to-serious per ROBINS-I (observational studies pooled),"INDIRECT for primary/isolated neonatal hyperglycaemia - this is a NE population where hyperglycaemia is a secondary/stress phenomenon, not primary metabolic dysregulation; flag this distinction explicitly",Low-Moderate (per GRADE applied within the review to observational studies),"risk of bias (observational studies, ROBINS-I moderate-serious); indirectness (NE population, not isolated hyperglycaemia)",not extracted,not extracted,"the largest pooled effect size for hyperglycaemia and adverse outcome in this domain, but population is NE-with-secondary-hyperglycaemia, not primary/isolated preterm or term hyperglycaemia - must not be conflated with Zamir/Boscarino's primary-hyperglycaemia populations",N,37316160,10.1136/archdischild-2023-325592,PROSPERO CRD42022368870; distinct population flagged per task instructions - a key example of the directness distinction this domain must maintain,"not specified as single range in abstract (NE population - term/near-term predominant per typical NE case-mix, not preterm-specific)",not specified as single value in abstract (varies by included study),varies by included study (mixed point-of-care/laboratory across pooled studies),>=18 months,"N (pooled OR only, not a dose-response gradient)"
G4,van der Lugt 2010,Netherlands,"Leiden University Medical Center, tertiary neonatal centre",tertiary NICU,retrospective follow-up cohort with matched controls,859 infants <=32 weeks screened; 33 hyperglycaemia survivors + 63 matched controls assessed at 2 years,66/859 (8%) developed hyperglycaemia; 27/66 (41%) died,,infants <=32 weeks gestation admitted to a tertiary neonatal centre 2002-2006,neonatal hyperglycaemia (blood glucose >=10 mmol/L) treated with insulin for >=12 hours,matched infants without hyperglycaemia,growth (weight/length/head circumference) and neurological/behavioural development at 2 years corrected age,growth was similar between groups; neurological and behavioural development were more frequently abnormal in the hyperglycaemia group,neurological development abnormal more frequently in hyperglycaemia group; behavioural development abnormal more frequently in hyperglycaemia group,,,0.036 (neurological); 0.021 (behavioural),"mortality substantially higher in hyperglycaemia group during admission (41% vs 8%, p<0.001), especially in <=1000g or 24-28 week infants",retrospective case-note review; standardised neurodevelopmental/behavioural assessment at 2 years corrected age,not applied (retrospective cohort; no formal RoB tool reported in abstract),,"moderate-high (retrospective, insulin-treated hyperglycaemia inherently selects for the most unwell survivors - survivor bias likely)","DIRECT - very preterm <=32 weeks, insulin-treated hyperglycaemia population",Low,"risk of bias (retrospective, small matched-control comparison, high mortality in exposed group raising survivor-bias concern); imprecision (n=33 exposed survivors)",not extracted,not extracted,"one of the few studies with a clear insulin-treated preterm hyperglycaemia population and 2-year neurodevelopmental/behavioural outcome; high in-hospital mortality (41%) in the hyperglycaemia group is itself a major finding, separate from the survivor neurodevelopmental signal",N,20646308,10.1186/1471-2431-10-52,PMC2915976 (open access); mortality difference is a critical companion finding to the neurodevelopmental signal in survivors,<=32 weeks gestation,>=10 mmol/L (180 mg/dL) treated with insulin >=12 hours,not specified in abstract (clinical blood glucose monitoring),2 years corrected age,N (single threshold/exposure category)
G5,Beardsall 2008 (NIRTURE trial),"multinational (UK and Europe, multicentre)","10 centres, UK/Europe",tertiary NICU (multicentre RCT),multicentre randomised controlled trial,389 (195 early-insulin / 194 control),,,"very-low-birth-weight infants (birth weight <1500g), days 1-7 of life",continuous insulin infusion 0.05 U/kg/h with 20% dextrose support (days 1-7),standard neonatal care,mortality at expected date of delivery (primary); hyperglycaemia and hypoglycaemia rates; growth; morbidity,no difference in intention-to-treat primary outcome (mortality at EDD) or secondary morbidity; early insulin reduced hyperglycaemia but increased hypoglycaemia; mortality at 28 days was HIGHER in early-insulin group,mean glucose 6.2 vs 6.7 mmol/L; hyperglycaemia >10% of week1 in 21% vs 33%; hypoglycaemia (<2.6mmol/L >1h) 29% vs 17%; 28-day mortality higher in insulin group,,,0.007 (mean glucose); 0.008 (hyperglycaemia >10% week); 0.005 (hypoglycaemia); 0.04 (28-day mortality),trial STOPPED EARLY for futility on primary outcome and concern about potential harm; early-insulin group had more carbohydrate infused and less weight loss in week 1 (both statistically significant) - the only clearly favourable secondary signals,continuous glucose monitoring used to assess efficacy of glucose control; trial registered ISRCTN78428828,not applied (RCT; early stopping and harm signal noted directly in abstract),,"Low (adequately randomised and multicentre, but stopped early with a mortality signal - genuine risk of bias from early stopping plus imprecision from reduced sample)",DIRECT - VLBW/preterm infants - the key interventional (insulin) trial for this population; NO published long-term neurodevelopmental follow-up of this cohort was located this session (see search log),Low,risk of bias (trial stopped early for futility/harm - a classic source of overestimated harm and underestimated benefit); imprecision (reduced sample from early stopping),not extracted,not extracted,"THIS IS THE TRIAL THE RESEARCH BRIEF REFERS TO AS THE 'COIN TRIAL' - no trial by that name exists in the literature (confirmed by targeted search); NIRTURE is the correct identifier. Early insulin REDUCES hyperglycaemia but at the cost of MORE hypoglycaemia and a signal toward HIGHER 28-day mortality - a genuine harm signal, reported with full prominence, not softened. No neurodevelopmental follow-up of this RCT cohort has been published to date - a real evidence gap, not an extrapolation.",N,18971490,10.1056/NEJMoa0803725,Trial stopped early for futility/harm concerns; ISRCTN78428828; this is the single most important interventional trial in this domain and the clearest example of a null/harmful finding given equal prominence to positive findings elsewhere in the domain,<1500g birth weight (VLBW; predominantly preterm),treatment threshold not a single value - insulin titrated to target euglycaemia; hyperglycaemia defined as blood glucose above normal range per protocol,continuous glucose monitoring used for efficacy assessment; standard glucometer for clinical management,28 days (mortality only) - NO neurodevelopmental follow-up published,N (single intervention arm comparison; no dose-response reported)
G6,Tottman 2017,New Zealand,"National Women's Hospital, Auckland",tertiary NICU,retrospective observational cohort,443 (<1500g or <30 weeks),"4 glycaemic groups: normoglycaemic, hypoglycaemic, hyperglycaemic, unstable",,"very preterm infants, birth weight <1500g or gestation <30 weeks, admitted within 24h to a single NZ tertiary unit",n/a (observational glycaemic-group exposure based on first-week glucose profile),normoglycaemic infants,survival without neonatal morbidity; survival without neurodevelopmental impairment at 2 years; glucose variability (SD of log-transformed glucose) as a separate predictor,hyperglycaemic and unstable groups less likely to survive without morbidity or without neurodevelopmental impairment at 2 years IN UNADJUSTED ANALYSIS; NO associations survived adjustment for gestation/birth-weight z-score/socioeconomic status,higher mean glucose associated with worse neonatal and 2-year outcomes (unadjusted); greater glucose variability associated with worse neonatal illness but NOT with 2-year outcome,,,not reported as single value (multivariable regression reported as non-significant after adjustment),hypoglycaemic infants had outcomes similar to normoglycaemic infants (null); glucose variability specifically was NOT an independent predictor of 2-year outcome once gestation/birth-weight/SES were accounted for - directly addresses the glycaemic-lability-for-hyperglycaemia question with a NULL result after adjustment,retrospective glucose concentration records from first week of life; standardised 2-year neurodevelopmental assessment,not applied (retrospective cohort; no formal RoB tool reported in abstract),,"moderate (retrospective, single-centre, but multivariable adjustment for key confounders explicitly performed and changes the headline result)",DIRECT - very preterm <30 weeks/<1500g,Low,indirectness/confounding (key finding is that unadjusted glycaemic-group associations do not survive adjustment for gestation and growth - i.e. glycaemia is likely a MARKER of immaturity/growth restriction rather than an independent causal exposure); single-centre imprecision,not extracted,not extracted,CENTRAL paper for the glycaemic-variability-in-hyperglycaemia question posed by the task: variability (MAGE/SD-based) was associated with worse NEONATAL illness but NOT independently with 2-year outcome after adjustment - this is a genuine null for variability-as-independent-predictor and should not be overstated as confirming lability's importance,N,28647271,10.1016/j.jpeds.2017.05.052,"Auckland/Liggins-programme-adjacent (Harding senior author) but methodologically distinct from CHYLD - a retrospective glycaemic-profile cohort, not a treat-to-threshold RCT",<30 weeks gestation or <1500g birth weight (very preterm/VLBW),"exposure defined by profile group, not single threshold; hyperglycaemic/unstable groups defined by absolute glycaemic excursions in first week",not specified in abstract (retrospective clinical glucose records),2 years,"Y (variability explicitly tested as a distinct dose-response-style predictor, found non-significant after adjustment)"
G7,Battaglini 2026,Italy,"IRCCS Istituto Giannina Gaslini, Genoa",tertiary NICU,single-centre randomised controlled trial,53 (26 CGM / 27 control),,,preterm infants randomised within 6 hours of life,real-time continuous glucose monitoring (CGM)-guided glycaemic management,blinded CGM with standard intermittent blood glucose-guided management,frequency/duration of hypoglycaemic (<47mg/dL) and hyperglycaemic (>180mg/dL) episodes; neurodevelopment at 2 years corrected age via Griffiths Scales,CGM significantly reduced both hypoglycaemic and hyperglycaemic episode counts; NO significant difference in neurodevelopmental outcome at 2 years,hyperglycaemia episodes first week 145 vs 830; hypoglycaemia episodes first week 339 vs 934; hyperglycaemia at 32 weeks PMA 1 vs 38,,,0.0001 (episode-count comparisons),reduction in glycaemic excursions did not translate into a detectable neurodevelopmental benefit at 2 years - reported as a null result with equal prominence to the positive glycaemic-control finding,real-time CGM device data; Griffiths Scales of Child Development at 2 years corrected age,"not applied (RCT; small single-centre trial, no formal RoB tool reported in abstract)",,"moderate (randomised, single-centre, small sample size likely underpowered for the neurodevelopmental secondary outcome)",DIRECT - preterm infants,Low,"imprecision (n=53, and neurodevelopmental outcome was likely underpowered even though glycaemic-episode outcomes were highly significant); single-centre",not extracted,not extracted,directly tests whether REDUCING glycaemic variability/excursions (both hypo- and hyperglycaemic) improves neurodevelopmental outcome - answer in this small trial is NO; this is the most direct available test of the 'lability matters more than threshold' hypothesis for hyperglycaemia and it did not confirm a neurodevelopmental benefit from tighter control,N,41984740,10.1159/000550797,"Very recent (2026); small trial, likely underpowered for the neurodevelopmental outcome despite being adequately powered for the glycaemic-control primary outcome - flag this distinction clearly","not specified as single range in abstract (preterm, randomised within 6h of life)",hypoglycaemia <47 mg/dL (2.6 mmol/L); hyperglycaemia >180 mg/dL (10.0 mmol/L),continuous glucose monitoring (intervention arm) vs intermittent blood glucose (control arm),2 years corrected age,"N (episode counts reported, not a graded dose-response against outcome)"
C2,Koh 1988,UK,Newcastle upon Tyne,tertiary paediatric endocrine service,prospective physiological study,17 children (11 with BG <2.6 mmol/L analysed),11 with BG <2.6 mmol/L,,children (incl. neonates) undergoing fasting/insulin testing or spontaneous hypoglycaemia,n/a - observational,n/a,sensory evoked potentials vs blood glucose concentration,abnormal evoked potentials in 10/11 children with BG <2.6 mmol/L (5/10 asymptomatic); no change in 6 who stayed >2.6 mmol/L,10/11 abnormal vs 0/6 abnormal,,,,,continuous EEG/evoked potential monitoring,,,"low (small n, mixed paediatric ages, physiological not clinical outcome)",partially direct - includes neonates but mixed with older children; historic (1988) technology,not applicable (mechanistic/physiological study),n/a,not extracted,not extracted,"small n, mixed ages",N,3202642,10.1136/adc.63.11.1353,primary neurophysiological evidence underpinning the 2.6 mmol/L figure itself; supports the permissive-hypoglycaemia critique's concern,mixed paediatric ages including neonates,2.6 mmol/L / 47 mg/dL,laboratory,acute (within episode),N
C3,Lucas 1988,UK,multicentre UK neonatal units,neonatal units,multicentre prospective cohort,661 preterm infants (433 with moderate hypoglycaemia),433 (104 on 3-30 separate days),,"preterm infants, multicentre UK cohort","n/a - observational, no protocolised treatment threshold",between-centre variation in intervention decisions,Bayley mental/motor development at 18 months corrected age; cerebral palsy/developmental delay,days of moderate hypoglycaemia strongly associated with reduced mental/motor scores,"-14 points (mental), -13 points (motor) for >=5 days hypoglycaemia; neurodevelopmental impairment OR 3.5",1.3,9.4,not reported per-comparison (multivariable adjusted),dose-response by number of days of hypoglycaemia,Bayley Scales of Infant Development,,,"moderate (large multicentre cohort but observational, historic era)",INDIRECT to term population - PRETERM cohort; landmark for pre-BAPM conservative UK practice,Low,"risk of bias (observational, uncontrolled treatment variation); indirectness (preterm cohort used to inform term practice norms)",Medical Research Council,not extracted,historic (1988) cohort predating modern glucose monitoring/treatment protocols; preterm not term,N,2462455,10.1136/bmj.297.6659.1304,single most historically influential paper behind pre-BAPM/pre-CHYLD conservative UK practice; central evidentiary basis for the 'permissive hypoglycaemia undertreats' side of the controversy,"preterm (unspecified weeks, 1988 multicentre cohort)",2.6 mmol/L / 47 mg/dL (moderate hypoglycaemia definition),not specified (pre-POC-glucometer era),18 months corrected age,Y (days of hypoglycaemia)
C4,O'Brien 2023,New Zealand,Auckland tertiary maternity hospital,regional perinatal centre + systematic review,systematic review of guidelines (AGREE-II) + retrospective cohort application,101372 infants (cohort component); 18 guidelines appraised,26.3% eligible for screening,,">=35 weeks GA, BW>=2000g, not admitted to NICU <1h after birth (cohort); guideline documents (SR)",application of highest-AGREE-II-scoring guideline's screening criteria to the cohort,15-year trend (2004 vs 2018),proportion of infants eligible for neonatal hypoglycaemia screening,26.3% of infants met screening criteria overall; no significant change in proportion over 15 years,adjusted OR 0.99 per year (change in proportion),0.93,1.03,not significant (CI spans 1),marked variability in quality and screening-criteria consensus across the 18 guidelines appraised,medical record review + AGREE II guideline appraisal,AGREE II (guideline appraisal component),,moderate (large single-centre retrospective cohort; guideline appraisal structured but subjective by design),direct - term/late-preterm NZ population; guideline appraisal international in scope,not applicable (descriptive/methodological study),n/a,not extracted,not extracted,documents lack of consensus on which infants should be screened,N,37782488,10.1001/jamapediatrics.2023.3957,"~1 in 4 infants meet screening criteria under the best-appraised guideline, essentially unchanged over 15 years",>=35 weeks (cohort); all gestations discussed across appraised guidelines,varies by guideline appraised - no single value,not specified (guideline-comparison study),not applicable,not applicable
C5,"Weston 2016 (Cochrane treatment, original ed.)",New Zealand (review team); trials from high-income countries,,,Cochrane systematic review and meta-analysis (original edition),312 infants (2 trials pooled),,,late preterm and at-risk term infants with confirmed neonatal hypoglycaemia,40% oral dextrose gel,placebo gel,major neurosensory disability at 2y; need for IV treatment; mother-infant separation; exclusive breastfeeding,no evidence of difference for neurosensory disability (very low certainty); reduced separation and increased breastfeeding (moderate certainty),"RR 6.27 (neurosensory disability, very uncertain); RR 0.54 (separation); RR 1.10 (breastfeeding)",0.77 / 0.31 / 1.01,51.03 / 0.93 / 1.18,not reported,estimated glucose rise 0.4 mmol/L (95% CI -0.14 to 0.94) after gel; no adverse events reported,RCT data pooled (fixed-effect),Cochrane RoB tool,,low risk of bias (2 RCTs pooled),direct - late preterm/term at-risk infants (Sugar Babies trial is 1 of 2 pooled studies),"Low (neurosensory outcome) / Moderate (separation, breastfeeding)","imprecision (very wide CI on neurosensory disability RR 0.77-51.03, essentially uninformative)",Cochrane Neonatal / NIHR,not extracted,only 2 trials pooled; neurosensory disability estimate uninformative,N,27142842,10.1002/14651858.CD011027.pub2,"ORIGINAL edition of the TREATMENT (not prophylaxis) Cochrane review, superseded by C6; concluded oral dextrose gel 'should be considered first-line treatment'",late preterm and term (>=35 weeks in pooled trials),2.6 mmol/L / 47 mg/dL (confirmed hypoglycaemia in pooled trials),point-of-care blood glucose (trial-specific),2 years (Sugar Babies component),N
C6,"Edwards 2022 (Cochrane treatment, current ed.)",New Zealand (review team); trials from high-income countries,,,"Cochrane systematic review and meta-analysis (update, pub3, current edition)","312 infants (2 trials, same as C5, updated follow-up)",,,late preterm and at-risk term infants with confirmed neonatal hypoglycaemia,40% oral dextrose gel,placebo gel,correction of hypoglycaemia; major neurological disability >=2y; need for IV treatment; separation; breastfeeding,probably increases correction of hypoglycaemia; may slightly reduce major neurological disability (uncertain); reduces separation; increases breastfeeding,"rate ratio 1.08 (correction); RR 0.46 (neurological disability, uncertain); RR 0.54 (separation); RR 1.10 (breastfeeding)",0.98 / 0.09 / 0.31 / 1.01,1.20 / 2.47 / 0.93 / 1.18,not reported,no adverse events reported in either pooled trial (low-certainty evidence),RCT data pooled (fixed-effect) + GRADE,Cochrane RoB tool,,low risk of bias (1 study); unclear-to-high (1 abstract-only study),direct - late preterm/term at-risk infants,"Moderate (correction, separation, breastfeeding) / Low (major neurological disability)",imprecision (neurological-disability RR 95% CI 0.09-2.47 spans large benefit/harm); one included study abstract-only,Cochrane Neonatal / Health Research Council of New Zealand,not extracted,only 2 trials (same pair as 2016 edition) with updated follow-up; conclusion is 'probably effective and safe first-line treatment' but long-term neurodevelopmental effect uncertain,N,35302645,10.1002/14651858.CD011027.pub3,"CURRENT edition of the TREATMENT Cochrane review - answers the brief's specific question about dextrose gel for TREATMENT (distinct from prophylaxis, see C7/C8)",late preterm and term (>=35 weeks in pooled trials),2.6 mmol/L / 47 mg/dL,point-of-care blood glucose (trial-specific),>=2 years,N
C7,"Edwards 2021 (Cochrane prophylaxis, pub3)",New Zealand (review team); trials from high-income countries,,,"Cochrane systematic review and meta-analysis (prophylaxis review, pub3 edition)",2548 infants (2 trials pooled),,,newborns at risk of hypoglycaemia (not yet diagnosed) - IDM/high or low birthweight/preterm <37 weeks,prophylactic oral 40% dextrose gel,placebo,incidence of hypoglycaemia before discharge; major neurological disability at 2y; treatment need; separation,"reduces risk of hypoglycaemia (high certainty); may reduce major neurological disability at 2y (moderate certainty, this edition)","RR 0.87 (hypoglycaemia incidence); RR 0.21 (neurological disability, 1 study, 360 infants)",0.79 / 0.05,0.95 / 0.78,not reported,little/no difference in mother-infant separation or adverse events,RCT data pooled (fixed-effect) + GRADE,Cochrane RoB tool,,low risk of bias,direct - at-risk late preterm/term infants (hPOD-family trials),"High (hypoglycaemia incidence) / Moderate (neurological disability, this edition)","none major for incidence outcome; moderate certainty for disability outcome, single study 360 infants",Cochrane Neonatal,not extracted,neurological-disability finding here (RR 0.21 favouring gel) NOT replicated in the pub4 update (C8) - direction reversed,N,33998668,10.1002/14651858.CD012152.pub3,"PROPHYLAXIS review (distinct Cochrane ID CD012152 from TREATMENT review CD011027), superseded by C8",at-risk late preterm and term infants (some <37 weeks preterm),not yet hypoglycaemic at enrolment - prophylaxis given at ~1h of age,point-of-care blood glucose,2 years (1 of 2 pooled studies),N
